Model,BooleanFeatures,GroupKeywords,BooleanConstraints,FeatureAttributes,GroupCardinality,NumericConstraints,FeatureCardinality,AggregateFunctions,TypeFeatures,StringConstraints,Imports
sparc_erc32,1181,1163,816,0,0,0,0,0,0,0,0
sparc_leon,1181,1163,816,0,0,0,0,0,0,0,0
stb,1265,1247,860,0,0,0,0,0,0,0,0
stdeval1,1203,1185,844,0,0,0,0,0,0,0,0
stm3210e_eval,1283,1262,873,0,0,0,0,0,0,0,0
ts1000,1310,1292,886,0,0,0,0,0,0,0,0
ts6,1253,1235,865,0,0,0,0,0,0,0,0
tx39_sim,1192,1174,822,0,0,0,0,0,0,0,0
uE250,1262,1244,900,0,0,0,0,0,0,0,0
vads,1253,1235,865,0,0,0,0,0,0,0,0
viper,1314,1296,894,0,0,0,0,0,0,0,0
vrc4373,1260,1242,860,0,0,0,0,0,0,0,0
vrc4375,1271,1253,870,0,0,0,0,0,0,0,0
XSEngine,1273,1255,886,0,0,0,0,0,0,0,0
axTLS,96,84,14,0,0,0,0,0,0,0,0
embtoolkit,1179,862,323,0,0,0,0,0,0,0,0
uClibc,313,214,56,0,0,0,0,0,0,0,0
uClinux-base,380,151,3455,0,0,0,0,0,0,0,0
uClinux-distribution,1580,1546,197,0,0,0,0,0,0,0,0
busybox_2010-05-02_14-17-07,631,630,681,0,0,0,0,0,0,0,0
2007-05-20_17-12-43,439,438,463,0,0,0,0,0,0,0,0
2007-06-01_14-40-03,439,438,463,0,0,0,0,0,0,0,0
2007-07-01_14-53-06,454,453,480,0,0,0,0,0,0,0,0
2007-08-01_23-30-54,459,458,486,0,0,0,0,0,0,0,0
2007-09-02_14-51-54,469,468,501,0,0,0,0,0,0,0,0
2007-10-01_09-59-01,472,471,505,0,0,0,0,0,0,0,0
2007-11-02_23-31-10,475,474,511,0,0,0,0,0,0,0,0
2007-12-02_01-43-18,482,481,515,0,0,0,0,0,0,0,0
2008-01-02_19-55-04,487,486,521,0,0,0,0,0,0,0,0
2008-02-01_01-41-57,493,492,525,0,0,0,0,0,0,0,0
2008-03-01_09-35-39,546,545,582,0,0,0,0,0,0,0,0
2008-04-01_14-47-57,535,534,562,0,0,0,0,0,0,0,0
2008-05-02_09-19-29,537,536,566,0,0,0,0,0,0,0,0
2008-06-01_10-10-22,543,542,586,0,0,0,0,0,0,0,0
2008-07-01_01-57-36,550,549,593,0,0,0,0,0,0,0,0
2008-08-01_02-15-05,557,556,612,0,0,0,0,0,0,0,0
2008-09-01_15-23-04,546,545,601,0,0,0,0,0,0,0,0
2008-10-02_13-30-31,556,555,576,0,0,0,0,0,0,0,0
2008-11-01_00-10-51,561,560,581,0,0,0,0,0,0,0,0
2008-12-01_12-36-41,572,571,597,0,0,0,0,0,0,0,0
2009-01-01_17-52-09,572,571,597,0,0,0,0,0,0,0,0
2009-02-01_00-40-45,575,574,613,0,0,0,0,0,0,0,0
2009-03-01_04-50-18,574,573,615,0,0,0,0,0,0,0,0
2009-04-01_11-24-04,575,574,615,0,0,0,0,0,0,0,0
2009-05-01_03-00-04,580,579,620,0,0,0,0,0,0,0,0
2009-06-01_11-26-30,583,582,629,0,0,0,0,0,0,0,0
2009-07-02_12-04-50,585,584,637,0,0,0,0,0,0,0,0
2009-08-01_06-53-03,594,593,648,0,0,0,0,0,0,0,0
2009-09-02_11-49-25,596,595,649,0,0,0,0,0,0,0,0
2009-10-02_01-10-32,599,598,652,0,0,0,0,0,0,0,0
2009-11-01_04-01-30,602,601,657,0,0,0,0,0,0,0,0
2009-12-01_02-32-01,608,607,667,0,0,0,0,0,0,0,0
2010-01-01_16-45-43,608,607,667,0,0,0,0,0,0,0,0
2010-02-01_04-55-30,619,618,679,0,0,0,0,0,0,0,0
2010-03-02_15-02-45,622,621,681,0,0,0,0,0,0,0,0
2010-04-01_15-09-44,628,627,691,0,0,0,0,0,0,0,0
2010-05-02_14-17-07,631,630,681,0,0,0,0,0,0,0,0
linux-2.6.33.3,6467,6322,3545,0,0,0,0,0,0,0,0
chat_system,10,6,2,0,0,0,0,0,0,0,0
ovm_MPPL.ovm,10,5,1,0,0,0,0,0,0,0,0
ovm_OnlineShop.ovm,14,9,4,0,0,0,0,0,0,0,0
ovm_RFW.ovm,37,20,11,0,0,0,0,0,0,0,0
dm_ASEJ1.csv,109,3,96,0,0,0,0,0,0,0,0
dm_DissModel.csv,116,6,0,0,0,0,0,0,0,0,0
dm_DOPLERTools.csv,50,32,15,0,0,0,0,0,0,0,0
dm_HICSSDM.csv,28,8,0,0,0,0,0,0,0,0,0
dm_eShop_DM.csv,13,3,4,0,0,0,0,0,0,0,0
step1 Determine the information you need to display,12,4,7,0,0,0,0,0,0,0,0
step2 Select the best means to display the information (tables),13,7,2,0,0,0,0,0,0,0,0
"step3 Design the display to show the information simply, clearly and accurately (graphs)",50,27,0,0,0,0,0,0,0,0,0
"step3 Design the display to show the information simply, clearly and accurately (tables)",48,27,2,0,0,0,0,0,0,0,0
step4 Select the implementation for the visualization (graphs),14,7,4,0,0,0,0,0,0,0,0
step4 Select the implementation for the visualization (tables),14,7,4,0,0,0,0,0,0,0,0
model,13,8,2,0,0,0,0,0,0,0,0
software_strategies,57,21,12,1,0,0,0,0,0,0,0
SGPL,94,67,19,0,0,0,0,0,0,0,0
miband1,12,11,0,0,0,0,0,0,0,0,0
miband1s,13,12,0,0,0,0,0,0,0,0,0
miband1s_planned,13,12,0,0,0,0,0,0,0,0,0
miband1s_realized,13,12,0,0,0,0,0,0,0,0,0
miband1_planned,12,11,0,0,0,0,0,0,0,0,0
miband1_realized,12,11,0,0,0,0,0,0,0,0,0
miband2,21,18,4,0,0,0,0,0,0,0,0
miband2_planned,21,18,0,0,0,0,0,0,0,0,0
miband2_realized,21,18,0,0,0,0,0,0,0,0,0
miband3,24,21,8,0,0,0,0,0,0,0,0
miband3_planned,24,21,1,0,0,0,0,0,0,0,0
miband3_realized,24,21,5,0,0,0,0,0,0,0,0
miband4,31,26,16,0,0,0,0,0,0,0,0
miband4_planned,31,26,1,0,0,0,0,0,0,0,0
miband4_realized,31,26,8,0,0,0,0,0,0,0,0
miband5,34,29,20,0,0,0,0,0,0,0,0
miband5_realized,34,29,16,0,0,0,0,0,0,0,0
miband6,35,30,21,0,0,0,0,0,0,0,0
miband6_planned,35,30,1,0,0,0,0,0,0,0,0
miband6_realized,35,30,20,0,0,0,0,0,0,0,0
miband7,36,30,22,0,0,0,0,0,0,0,0
miband7_planned,36,30,1,0,0,0,0,0,0,0,0
miband7_realized,36,30,20,0,0,0,0,0,0,0,0
miband8,37,30,22,0,0,0,0,0,0,0,0
miband8_planned,37,30,1,0,0,0,0,0,0,0,0
miband8_realized,37,30,22,0,0,0,0,0,0,0,0
busybox-1.18.0,854,838,67,0,0,0,0,0,0,0,0
ea2468,1408,1389,1281,0,0,0,0,0,0,0,0
linux-2.6.33.3,6467,6322,7650,0,0,0,0,0,0,0,0
REAL-FM-4,291,198,21,0,0,0,0,0,0,0,0
arcade-game,65,36,34,1,0,0,0,0,0,0,0
busybox-1.18.0,854,838,67,0,0,0,0,0,0,0,0
ea2468,1408,1389,1281,0,0,0,0,0,0,0,0
fqa,179,93,9,0,0,0,0,0,0,0,0
linux-2.6.33.3,6467,6322,7650,0,0,0,0,0,0,0,0
REAL-FM-4,291,198,21,0,0,0,0,0,0,0,0
REAL-FM-7,14,11,2,0,0,0,0,0,0,0,0
berkeleydb,76,58,20,0,0,0,0,0,0,0,0
SGPL,94,67,19,0,0,0,0,0,0,0,0
financialservices01,771,228,1080,0,0,0,0,0,0,0,0
2017-05-22,557,145,1001,0,0,0,0,0,0,0,0
2017-09-28,704,183,1136,0,0,0,0,0,0,0,0
2017-10-20,712,186,1142,0,0,0,0,0,0,0,0
2017-11-20,711,186,1148,0,0,0,0,0,0,0,0
2017-12-22,716,191,1148,0,0,0,0,0,0,0,0
2018-01-23,712,193,1028,0,0,0,0,0,0,0,0
2018-02-20,759,217,1034,0,0,0,0,0,0,0,0
2018-03-26,771,227,1080,0,0,0,0,0,0,0,0
2018-04-23,774,227,1079,0,0,0,0,0,0,0,0
2018-05-09,771,228,1080,0,0,0,0,0,0,0,0
automotive2_4,18616,5012,1369,0,0,0,0,0,0,0,0
automotive02_01,14010,3982,666,0,0,0,0,0,0,0,0
automotive02_02,17742,4678,914,0,0,0,0,0,0,0,0
automotive02_03,18434,4922,1300,0,0,0,0,0,0,0,0
automotive02_04,18616,5013,1369,0,0,0,0,0,0,0,0
miband5_planned,34,29,1,0,0,0,0,0,0,0,0
